TimeStamp,CpuUsage,CpuTemp,IrTemp,CpuPkgPower,CpuPL1,ThermalThrottling
2023-08-24_15-53-11-117,0,34,28,15.62268244,55,0
2023-08-24_15-53-12-139,1.17136,31,28,10.89301314,55,0
2023-08-24_15-53-13-153,1.365399,31,28,10.97762559,55,0
2023-08-24_15-53-14-169,0,31,28,12.45310047,55,0
2023-08-24_15-53-15-187,1.583477,31,28,12.45310047,55,0
2023-08-24_15-53-16-202,0.2306859,31,28,10.89583969,55,0
2023-08-24_15-53-17-221,0.3628485,33,28,16.72934645,55,0
2023-08-24_15-53-18-241,2.077152,31,28,11.12934779,55,0
2023-08-24_15-53-19-259,0.2977588,32,28,16.86914507,55,0
2023-08-24_15-53-20-274,1.458024,32,28,11.68719894,55,0
2023-08-24_15-53-21-292,0.6968403,31,28,10.05176532,55,0
2023-08-24_15-53-22-309,0,36,28,11.64988151,55,0
2023-08-24_15-53-23-328,0.9263465,31,28,11.20116932,55,0
2023-08-24_15-53-24-343,0.6170008,32,28,10.20957899,55,0
2023-08-24_15-53-25-367,0.5177687,31,28,10.90492328,55,0
2023-08-24_15-53-26-386,1.584748,31,28,14.08718732,55,0
2023-08-24_15-53-27-403,0.7378013,34,28,19.91502657,55,0
2023-08-24_15-53-28-417,0.6641952,32,28,12.49894242,55,0
2023-08-24_15-53-29-435,0.7063648,31,28,10.39657322,55,0
2023-08-24_15-53-30-458,0,33,28,11.56255223,55,0
2023-08-24_15-53-31-475,1.020808,31,28,10.81333867,55,0
2023-08-24_15-53-32-493,0.182166,31,28,10.81333867,55,0
2023-08-24_15-53-33-508,1.411031,31,28,11.12863639,55,0
2023-08-24_15-53-34-526,1.777907,34,28,14.97467555,55,0
2023-08-24_15-53-35-544,1.892014,35,28,25.25798342,55,0
2023-08-24_15-53-36-568,1.06268,35,28,15.24786462,55,0
2023-08-24_15-53-37-591,0.4070925,33,28,19.66648671,55,0
2023-08-24_15-53-38-607,0.770882,33,28,13.02701149,55,0
2023-08-24_15-53-39-669,0.1575593,35,28,13.10672253,55,0
2023-08-24_15-53-40-696,13.59419,49,28,25.51970892,55,0
2023-08-24_15-53-41-710,28.91865,49,28,94.23959979,55,0
2023-08-24_15-53-42-725,29.22523,96,28,89.7961373,55,1
2023-08-24_15-53-43-738,29.6051,96,28,85.10081339,55,1
2023-08-24_15-53-44-752,29.35441,97,28,81.77353744,55,1
2023-08-24_15-53-45-767,31.53571,97,28,91.96183452,55,1
2023-08-24_15-53-47-497,67.10146,96,28,96.22042894,55,1
2023-08-24_15-53-48-532,99.43428,96,28,126.7095975,55,1
2023-08-24_15-53-49-586,100,98,28,109.0609284,55,1
2023-08-24_15-53-50-619,100,96,28,118.4803928,55,1
2023-08-24_15-53-51-653,100,96,28,112.6860387,55,1
2023-08-24_15-53-52-686,100,96,28,113.6221175,55,1
2023-08-24_15-53-53-720,100,96,28,113.0061829,55,1
2023-08-24_15-53-54-755,100,96,28,121.9423008,55,1
2023-08-24_15-53-55-789,100,98,28,109.3244647,55,1
2023-08-24_15-53-56-824,100,95,28,105.3562567,55,1
2023-08-24_15-53-57-860,100,98,28,119.9608113,55,1
2023-08-24_15-53-58-892,100,98,29,106.5315985,55,1
2023-08-24_15-53-59-929,100,98,29,106.5315985,55,1
2023-08-24_15-54-00-963,100,96,29,104.4910771,55,1
2023-08-24_15-54-01-999,100,96,29,108.8987349,55,1
2023-08-24_15-54-03-036,100,98,29,104.2775571,55,1
2023-08-24_15-54-04-069,100,96,29,108.3242862,55,1
2023-08-24_15-54-05-104,100,96,29,106.8199689,55,1
2023-08-24_15-54-06-140,100,96,29,103.2712666,55,1
2023-08-24_15-54-07-176,100,98,29,102.2224985,55,1
2023-08-24_15-54-08-211,100,98,29,105.6024898,55,1
2023-08-24_15-54-09-241,100,96,29,102.296722,55,1
2023-08-24_15-54-10-274,100,98,29,101.8046942,55,1
2023-08-24_15-54-11-307,100,98,29,96.62936281,55,1
2023-08-24_15-54-12-342,100,96,29,98.88076115,55,1
2023-08-24_15-54-13-374,100,96,30,102.348594,55,1
2023-08-24_15-54-14-410,100,98,30,101.3970888,55,1
2023-08-24_15-54-15-443,100,96,30,100.9294095,55,1
2023-08-24_15-54-16-478,100,96,30,106.2870116,55,1
2023-08-24_15-54-17-510,100,96,30,106.2870116,55,1
2023-08-24_15-54-18-544,100,96,30,103.3671657,55,1
2023-08-24_15-54-19-578,100,96,30,106.3657674,55,1
2023-08-24_15-54-20-610,100,96,30,98.77656523,55,1
2023-08-24_15-54-21-644,100,98,30,100.9755663,55,1
2023-08-24_15-54-22-679,100,96,30,97.95277174,55,1
2023-08-24_15-54-23-714,100,98,30,101.6001789,55,1
2023-08-24_15-54-24-750,100,96,30,100.6239942,55,1
2023-08-24_15-54-25-785,100,96,30,101.2528424,55,1
2023-08-24_15-54-26-818,100,96,31,102.2189228,55,1
2023-08-24_15-54-27-852,100,96,31,106.6756506,55,1
2023-08-24_15-54-28-886,100,98,31,95.01383145,55,1
2023-08-24_15-54-29-919,100,96,31,97.68970012,55,1
2023-08-24_15-54-30-950,100,98,31,94.283064,55,1
2023-08-24_15-54-31-986,100,96,31,101.7658854,55,1
2023-08-24_15-54-33-019,100,96,31,94.83916208,55,1
2023-08-24_15-54-34-052,100,96,31,94.66010625,55,1
2023-08-24_15-54-35-086,100,96,31,94.66010625,55,1
2023-08-24_15-54-36-119,100,98,31,93.84888923,55,1
2023-08-24_15-54-37-153,100,98,31,100.1865145,55,1
2023-08-24_15-54-38-186,100,96,31,97.3918213,55,1
2023-08-24_15-54-39-219,100,96,31,93.06420333,55,1
2023-08-24_15-54-40-252,100,98,31,97.1998595,55,1
2023-08-24_15-54-41-286,100,96,32,97.46033823,55,1
2023-08-24_15-54-42-319,100,98,32,92.13499427,55,1
2023-08-24_15-54-43-353,100,96,32,95.40563588,55,1
2023-08-24_15-54-44-393,100,96,32,97.09684366,55,1
2023-08-24_15-54-45-427,100,96,32,97.98474186,55,1
2023-08-24_15-54-46-461,100,95,32,94.19671699,55,1
2023-08-24_15-54-47-498,100,96,32,97.05994207,55,1
2023-08-24_15-54-48-534,100,96,32,92.5895971,55,1
2023-08-24_15-54-49-571,100,98,32,96.87717894,55,1
2023-08-24_15-54-50-603,100,98,32,89.36374805,55,1
2023-08-24_15-54-51-639,99.93714,98,32,94.23539641,55,1
2023-08-24_15-54-52-669,100,98,32,94.23539641,55,1
2023-08-24_15-54-53-705,100,98,32,86.38932911,55,1
2023-08-24_15-54-54-739,100,98,32,95.3220668,55,1
2023-08-24_15-54-55-775,100,96,32,102.2793341,55,1
2023-08-24_15-54-56-806,100,96,33,94.5546689,55,1
2023-08-24_15-54-57-839,100,98,33,89.38697539,55,1
2023-08-24_15-54-58-875,100,96,33,92.38265528,55,1
2023-08-24_15-54-59-912,100,95,33,91.00913447,55,1
2023-08-24_15-55-00-948,100,98,33,95.7002362,55,1
2023-08-24_15-55-01-982,100,96,33,93.71583854,55,1
2023-08-24_15-55-03-018,100,96,33,90.71725805,55,1
2023-08-24_15-55-04-051,100,96,33,95.24512339,55,1
2023-08-24_15-55-05-088,100,98,33,97.64072191,55,1
2023-08-24_15-55-06-121,100,96,33,99.08805929,55,1
2023-08-24_15-55-07-156,100,96,33,93.05706866,55,1
2023-08-24_15-55-08-193,100,96,33,91.05102593,55,1
2023-08-24_15-55-09-227,100,96,33,90.37974104,55,1
2023-08-24_15-55-10-269,100,95,33,98.8105914,55,1
2023-08-24_15-55-11-300,100,95,33,98.8105914,55,1
2023-08-24_15-55-12-336,100,96,33,100.7572371,55,1
2023-08-24_15-55-13-372,100,96,33,99.54515539,55,1
2023-08-24_15-55-14-403,100,98,33,94.4715387,55,1
2023-08-24_15-55-15-438,100,96,33,91.47507164,55,1
2023-08-24_15-55-16-468,100,98,34,97.00336054,55,1
2023-08-24_15-55-17-503,100,96,34,90.4704547,55,1
2023-08-24_15-55-18-540,100,98,34,99.10164641,55,1
2023-08-24_15-55-19-578,100,98,34,99.79907065,55,1
2023-08-24_15-55-20-613,100,98,34,87.55041702,55,1
2023-08-24_15-55-21-648,100,96,34,98.38316623,55,1
2023-08-24_15-55-22-686,100,96,34,91.34145904,55,1
2023-08-24_15-55-23-721,100,96,34,89.95960573,55,1
2023-08-24_15-55-24-757,100,98,34,87.93821031,55,1
2023-08-24_15-55-25-792,99.9371,95,34,91.96907027,55,1
2023-08-24_15-55-26-828,100,96,34,91.22621029,55,1
2023-08-24_15-55-27-862,100,96,34,99.31631868,55,1
2023-08-24_15-55-28-899,100,96,34,99.31631868,55,1
2023-08-24_15-55-29-933,100,98,34,90.59487585,55,1
2023-08-24_15-55-30-969,100,98,34,104.4055928,55,1
2023-08-24_15-55-32-005,100,98,34,95.38404764,55,1
2023-08-24_15-55-33-041,100,96,34,94.81427718,55,1
2023-08-24_15-55-34-073,100,96,34,95.18972717,55,1
2023-08-24_15-55-35-109,100,98,34,88.29205953,55,1
2023-08-24_15-55-36-139,100,98,34,98.66193731,55,1
2023-08-24_15-55-37-172,99.93698,96,34,89.57570156,55,1
2023-08-24_15-55-38-208,100,98,34,90.69340735,55,1
2023-08-24_15-55-39-242,100,98,34,89.44258103,55,1
2023-08-24_15-55-40-278,100,96,35,87.48466257,55,1
2023-08-24_15-55-41-312,100,98,35,94.2481178,55,1
2023-08-24_15-55-42-348,100,96,35,93.01474028,55,1
2023-08-24_15-55-43-385,100,98,35,89.43790393,55,1
2023-08-24_15-55-44-419,100,96,35,88.76555407,55,1
2023-08-24_15-55-45-454,100,96,35,84.65987923,55,1
2023-08-24_15-55-46-491,100,96,35,86.55450156,55,1
2023-08-24_15-55-47-526,100,96,35,86.55450156,55,1
2023-08-24_15-55-48-562,100,96,35,92.77103268,55,1
2023-08-24_15-55-49-596,100,98,35,97.70334746,55,1
2023-08-24_15-55-50-633,100,96,35,94.56860732,55,1
2023-08-24_15-55-51-665,100,95,35,89.95429673,55,1
2023-08-24_15-55-52-699,100,98,35,94.87301258,55,1
2023-08-24_15-55-53-732,100,96,35,91.66145213,55,1
2023-08-24_15-55-54-768,100,96,35,94.9239417,55,1
2023-08-24_15-55-55-803,100,96,35,85.85193939,55,1
2023-08-24_15-55-56-838,100,96,35,95.07637201,55,1
2023-08-24_15-55-57-875,100,98,35,89.46337467,55,1
2023-08-24_15-55-58-907,100,96,35,90.58488115,55,1
2023-08-24_15-55-59-941,100,96,35,91.98537355,55,1
2023-08-24_15-56-00-977,100,95,35,83.19808987,55,1
2023-08-24_15-56-02-012,100,98,35,88.13769678,55,1
2023-08-24_15-56-03-048,100,96,35,94.4050082,55,1
2023-08-24_15-56-04-084,100,96,35,91.80606854,55,1
2023-08-24_15-56-05-121,100,96,35,97.55272767,55,1
2023-08-24_15-56-06-157,100,96,35,97.55272767,55,1
2023-08-24_15-56-07-191,100,96,35,89.67915105,55,1
2023-08-24_15-56-08-228,100,96,35,88.65464059,55,1
2023-08-24_15-56-09-263,100,96,35,99.7330736,55,1
2023-08-24_15-56-10-299,100,95,35,96.24004306,55,1
2023-08-24_15-56-11-335,100,96,36,98.83975673,55,1
2023-08-24_15-56-12-368,100,96,36,94.43529154,55,1
2023-08-24_15-56-13-404,100,96,36,89.2525244,55,1
2023-08-24_15-56-14-442,100,96,36,96.09845328,55,1
2023-08-24_15-56-15-478,100,95,36,90.62994921,55,1
2023-08-24_15-56-16-511,100,96,36,85.64158498,55,1
2023-08-24_15-56-17-548,100,98,36,90.2007332,55,1
2023-08-24_15-56-18-580,100,98,36,93.9362257,55,1
2023-08-24_15-56-19-614,100,96,36,89.47912425,55,1
2023-08-24_15-56-20-652,100,98,36,91.60575123,55,1
2023-08-24_15-56-21-687,100,98,36,85.59468295,55,1
2023-08-24_15-56-22-723,100,95,36,88.28764244,55,1
2023-08-24_15-56-23-759,100,95,36,88.28764244,55,1
2023-08-24_15-56-24-795,100,98,36,90.87020629,55,1
2023-08-24_15-56-25-831,100,96,36,92.59869052,55,1
2023-08-24_15-56-26-868,100,96,36,83.61672041,55,1
2023-08-24_15-56-27-905,100,98,36,89.41398348,55,1
2023-08-24_15-56-28-943,100,96,36,91.85059982,55,1
2023-08-24_15-56-29-973,100,96,36,87.20311198,55,1
2023-08-24_15-56-31-010,100,96,36,88.48448969,55,1
